job_statement,context,goal,persona,workflow_stage,difficulty,importance,frequency,evidence,notes
Implement progressive delivery strategies to reduce deployment risk,When releasing new product updates to production environments,So I can expose new versions to only a subset of users initially and verify behavior before broader rollout,Platform Engineer,Deployment,Medium,High,High,"using-argo-rollouts-for-progressive-deployment-delivery.adoc -> Introduction section, lines 12-13: 'Progressive delivery is the process of releasing product updates in a controlled and gradual manner. Progressive delivery reduces the risk of a release by exposing the new version of a product update only to a subset of users initially.'",Source content from assembly introduction. Progressive delivery is core value proposition of Argo Rollouts.
Automate deployment rollouts and rollbacks based on metrics and policies,When managing application deployments with different versions,So I can drive automated progression or rollback decisions without manual intervention,Platform Engineer,Deployment,Medium,High,High,"using-argo-rollouts-for-progressive-deployment-delivery.adoc -> Introduction section, lines 17-19 [module: modules/gitops-benefits-of-argo-rollouts.adoc, type: CONCEPT]",Argo Rollouts provides automation and metric analysis to support progressive delivery and drive automated rollout/rollback decisions. Integrates with metric providers like Prometheus.
Control traffic distribution between different application versions during updates,When deploying new versions of applications,So I can gradually shift traffic from old to new versions while monitoring behavior,Platform Engineer,Deployment,Medium,High,High,"using-argo-rollouts-for-progressive-deployment-delivery.adoc -> Introduction section, lines 18-19: 'manage multiple replica sets that represent different versions of the deployed application. Depending on your deployment strategy, you can handle traffic to these versions during an update by optimizing their existing traffic shaping abilities'",Core capability of Argo Rollouts for progressive delivery. Enables fine-grained traffic control.
Simplify setup of advanced deployment strategies,When implementing blue-green or canary deployments,So application teams can define rollout strategies declaratively without managing multiple deployments and complex automation,Platform Engineer,Configuration,High,High,Medium,"modules/gitops-benefits-of-argo-rollouts.adoc -> Benefits section, lines 9: 'With Argo Rollouts, you simplify this process by allowing application teams to define their rollout strategy declaratively. Teams no longer need to define multiple deployments and services or create automation for traffic shaping'",Source module: modules/gitops-benefits-of-argo-rollouts.adoc (CONCEPT). Key benefit is simplification of complex deployment patterns.
Achieve zero downtime during application updates,When deploying new versions of applications,So users experience no service interruption during the rollout process,Platform Engineer,Deployment,Medium,High,High,"modules/gitops-benefits-of-argo-rollouts.adoc -> Benefits list, line 16: 'Zero downtime updates for deployments'",Source module: modules/gitops-benefits-of-argo-rollouts.adoc (CONCEPT). Critical production requirement.
Test new application versions without exposing them to production traffic,When validating new deployments before full rollout,So I can verify functionality and performance in production environment before users access it,Platform Engineer,Testing,Low,High,High,"modules/gitops-benefits-of-argo-rollouts.adoc -> Benefits list, line 18: 'Able to test without any new traffic hitting the production environment'",Source module: modules/gitops-benefits-of-argo-rollouts.adoc (CONCEPT). Enables dark launches and production testing.
Perform fine-grained traffic shifting between application versions,When managing canary or blue-green deployments,So I can precisely control what percentage of traffic goes to each version,Platform Engineer,Deployment,Medium,High,High,"modules/gitops-benefits-of-argo-rollouts.adoc -> Benefits list, line 17: 'Fine-grained, weighted traffic shifting'",Source module: modules/gitops-benefits-of-argo-rollouts.adoc (CONCEPT). Enables gradual rollout strategies.
Analyze deployment health using custom business metrics,When evaluating whether to proceed with or rollback a deployment,So I can make rollout decisions based on KPIs relevant to my business rather than just infrastructure metrics,Platform Engineer,Monitoring,Medium,High,High,"modules/gitops-benefits-of-argo-rollouts.adoc -> Benefits list, line 21: 'Customizable metric queries and analysis of business key performance indicators (KPIs)'",Source module: modules/gitops-benefits-of-argo-rollouts.adoc (CONCEPT). Supports policy-driven rollouts based on business metrics.
Integrate progressive delivery with service mesh traffic routing,When using service mesh for application networking,So I can leverage advanced routing capabilities for deployment strategies,Platform Engineer,Configuration,High,Medium,Low,"modules/gitops-benefits-of-argo-rollouts.adoc -> Benefits list, line 22: 'Integration with ingress controller and {SMProductName} for advanced traffic routing'",Source module: modules/gitops-benefits-of-argo-rollouts.adoc (CONCEPT). Supports integration with OpenShift Service Mesh.
Create and configure RolloutManager custom resource,When setting up Argo Rollouts in my namespace,So I can enable progressive delivery capabilities for my applications,Platform Engineer,Installation,Low,High,Low,"modules/gitops-creating-rolloutmanager-custom-resource.adoc -> Introduction, lines 9: 'To manage progressive delivery of deployments by using Argo Rollouts in {gitops-title}, you must create and configure a `RolloutManager` custom resource (CR) in the namespace of your choice'",Source module: modules/gitops-creating-rolloutmanager-custom-resource.adoc (PROCEDURE). Required setup step for using Argo Rollouts.
Scope Argo Rollouts to single or multiple namespaces,When deploying RolloutManager custom resource,So I can control which namespaces have progressive delivery capabilities,Platform Engineer,Configuration,Low,Medium,Low,"modules/gitops-creating-rolloutmanager-custom-resource.adoc -> Introduction, lines 9: 'By default, any new `argo-rollouts` instance has permission to manage resources only in the namespace where it is deployed, but you can use Argo Rollouts in multiple namespaces as required' AND modules/gitops-about-argo-rollout-manager-custom-resources-and-spec.adoc -> line 9: 'You can scope the `RolloutManager` CR for single or multiple namespaces'",Source modules: modules/gitops-creating-rolloutmanager-custom-resource.adoc (PROCEDURE) and modules/gitops-about-argo-rollout-manager-custom-resources-and-spec.adoc (CONCEPT). Provides flexibility in deployment scope.
Verify RolloutManager instance deployment status,After creating a RolloutManager custom resource,So I can confirm the Argo Rollouts controller and supporting resources are running correctly,Platform Engineer,Verification,Low,Medium,Low,"modules/gitops-creating-rolloutmanager-custom-resource.adoc -> Procedure steps, lines 43-51: verification steps for Status field, deployments, secrets, services, roles, and role bindings",Source module: modules/gitops-creating-rolloutmanager-custom-resource.adoc (PROCEDURE). Important post-installation validation.
Customize Argo Rollouts controller configuration,When creating RolloutManager custom resource,"So I can specify command arguments, environment variables, custom image name and other settings for my environment",Platform Engineer,Configuration,Medium,Medium,Low,"modules/gitops-about-argo-rollout-manager-custom-resources-and-spec.adoc -> lines 18: 'You can specify the command arguments, environment variables, a custom image name, and so on for the Argo Rollouts controller resource in the spec of the `RolloutsManager` CR'",Source module: modules/gitops-about-argo-rollout-manager-custom-resources-and-spec.adoc (CONCEPT). Provides customization options for advanced use cases.
Delete RolloutManager custom resource before uninstalling GitOps Operator,When cleaning up or uninstalling OpenShift GitOps,So I can properly remove all Argo Rollouts resources that are not automatically deleted,Platform Engineer,Uninstallation,Low,High,Low,"modules/gitops-deleting-rolloutmanager-custom-resource.adoc -> Introduction, lines 9: 'Uninstalling the {gitops-title} Operator does not remove the resources that were created during installation. You must manually delete the `RolloutManager` custom resource (CR) before you uninstall the {gitops-title} Operator'",Source module: modules/gitops-deleting-rolloutmanager-custom-resource.adoc (PROCEDURE). Critical cleanup step to avoid orphaned resources.
Verify deletion of RolloutManager and supporting resources,After deleting a RolloutManager custom resource,So I can confirm all associated resources have been properly removed,Platform Engineer,Verification,Low,Medium,Low,"modules/gitops-deleting-rolloutmanager-custom-resource.adoc -> Procedure steps, lines 32-40: verification steps for confirming deletion of deployments, secrets, services, roles, and role bindings",Source module: modules/gitops-deleting-rolloutmanager-custom-resource.adoc (PROCEDURE). Ensures complete cleanup.
Understand RolloutManager custom resource architecture,When planning to use Argo Rollouts,So I know what namespace-scoped resources will be created and how they work together,Platform Engineer,Planning,Low,Medium,Low,"modules/gitops-about-argo-rollout-manager-custom-resources-and-spec.adoc -> lines 9-16: lists controller, metrics service, service account, roles, role bindings, and secret created by RolloutManager CR",Source module: modules/gitops-about-argo-rollout-manager-custom-resources-and-spec.adoc (CONCEPT). Provides architectural understanding.
Adopt progressive delivery without learning complex infrastructure details,When application teams want to use advanced deployment strategies,So teams can implement canary or blue-green deployments without becoming experts in traffic managers and infrastructure,Application Developer,Deployment,Low,High,High,"modules/gitops-benefits-of-argo-rollouts.adoc -> Closing paragraph, lines 26-27: 'With Argo Rollouts, users can more easily adopt progressive delivery in end-user environments. This provides structure and guidelines without requiring teams to learn about traffic managers and complex infrastructure'",Source module: modules/gitops-benefits-of-argo-rollouts.adoc (CONCEPT). Key value proposition for application teams - abstraction of complexity.
Get early feedback on deployments to avoid production impact,When using Argo CD with automated deployments,So I can identify and address problems before they affect end users,Platform Engineer,Deployment,Low,High,High,"modules/gitops-benefits-of-argo-rollouts.adoc -> Closing paragraph, lines 27-28: 'Existing users who use Argo CD with security and automated deployments get feedback early in the process and avoid problems that impact them'",Source module: modules/gitops-benefits-of-argo-rollouts.adoc (CONCEPT). Benefits existing GitOps users.
Enable manual judgment gates in deployment process,When running progressive delivery rollouts,So I can pause automated rollouts and make manual approval decisions at critical points,Platform Engineer,Deployment,Low,Medium,Medium,"modules/gitops-benefits-of-argo-rollouts.adoc -> Benefits list, line 20: 'Manual judgment'",Source module: modules/gitops-benefits-of-argo-rollouts.adoc (CONCEPT). Provides control for critical deployments.
Implement automated promotions in deployment pipeline,When managing multi-stage rollouts,So deployments can automatically progress through stages when health checks and metrics indicate success,Platform Engineer,Deployment,Medium,High,High,"modules/gitops-benefits-of-argo-rollouts.adoc -> Benefits list, line 19: 'Automated rollbacks and promotions'",Source module: modules/gitops-benefits-of-argo-rollouts.adoc (CONCEPT). Enables hands-off progressive delivery.
