record_type,job_statement,persona,context,success_criteria,parent_job,section,evidence,related_approaches,workflow_stage,frequency,dependencies,pain_points,doc_identifier,notes
main_job,"When deploying Argo CD instances, I want to manage resource allocation for workloads, so I can ensure optimal performance and meet namespace resource quotas",Platform Administrator,Deploying and managing Argo CD instances in resource-constrained environments,Argo CD workloads meet namespace quotas; Resource requests and limits are properly configured; All components have appropriate resource allocations,,Configuring resource quota or requests,"With the Argo CD custom resource (CR), you can create, update, and delete resource requests and limits for Argo CD workloads",Configure during initial deployment; Update post-installation; Remove when no longer needed,OPERATIONS,regular,Namespace with resource quotas configured,Complex resource planning; Balancing performance vs resource consumption,managing_resource,Assembly: configuring-resource-quota.adoc
user_story,"When setting up a new Argo CD instance, I want to configure resource requests and limits for all workloads, so I can deploy in namespaces with resource quotas",Platform Administrator,Initial Argo CD instance deployment in quota-restricted namespace,All workload components have defined resource requirements; Instance deploys successfully in quota namespace; Resource allocation matches capacity planning,"When deploying Argo CD instances, I want to manage resource allocation for workloads, so I can ensure optimal performance and meet namespace resource quotas",Configuring workloads with resource requests and limits,You can create Argo CD custom resource workloads with resource requests and limits. This is required when you want to deploy the Argo CD instance in a namespace that is configured with resource quotas,Define resources for Application Controller; Configure ApplicationSet Controller resources; Set Dex resource limits; Allocate Redis resources; Configure Repo Server resources; Set Server component resources,SETUP,initial,Namespace with resource quotas,Determining appropriate resource values; Configuring multiple components individually,managing_resource,Module: gitops-configuring-workloads.adoc (REFERENCE)
task,Create Argo CD CR with resource specifications for Application Controller,Platform Administrator,Defining resource requirements in Argo CD custom resource,CPU and memory limits defined; CPU and memory requests defined,"When setting up a new Argo CD instance, I want to configure resource requests and limits for all workloads, so I can deploy in namespaces with resource quotas",Configuring workloads with resource requests and limits,"controller:
  resources:
    limits:
      cpu: '2'
      memory: 2Gi
    requests:
      cpu: 250m
      memory: 1Gi",,SETUP,initial,Argo CD operator installed,,managing_resource,Module: gitops-configuring-workloads.adoc (REFERENCE)
task,Create Argo CD CR with resource specifications for ApplicationSet Controller,Platform Administrator,Defining resource requirements in Argo CD custom resource,CPU and memory limits defined; CPU and memory requests defined,"When setting up a new Argo CD instance, I want to configure resource requests and limits for all workloads, so I can deploy in namespaces with resource quotas",Configuring workloads with resource requests and limits,"applicationSet:
  resources:
    limits:
      cpu: '2'
      memory: 1Gi
    requests:
      cpu: 250m
      memory: 512Mi",,SETUP,initial,Argo CD operator installed,,managing_resource,Module: gitops-configuring-workloads.adoc (REFERENCE)
task,Create Argo CD CR with resource specifications for Server component,Platform Administrator,Defining resource requirements in Argo CD custom resource,CPU and memory limits defined; CPU and memory requests defined,"When setting up a new Argo CD instance, I want to configure resource requests and limits for all workloads, so I can deploy in namespaces with resource quotas",Configuring workloads with resource requests and limits,"server:
  resources:
    limits:
      cpu: 500m
      memory: 256Mi
    requests:
      cpu: 125m
      memory: 128Mi",,SETUP,initial,Argo CD operator installed,,managing_resource,Module: gitops-configuring-workloads.adoc (REFERENCE)
user_story,"When Argo CD is already deployed, I want to update resource requirements for workloads, so I can optimize performance or adjust to changing capacity needs",Platform Administrator,Post-installation resource requirement adjustments,Resource values updated without downtime; New limits applied to running pods; Performance meets expectations,"When deploying Argo CD instances, I want to manage resource allocation for workloads, so I can ensure optimal performance and meet namespace resource quotas",Patching Argo CD instance to update the resource requirements,You can update the resource requirements for all or any of the workloads post installation,Patch CPU requests; Patch memory requests; Update via oc patch command,OPERATIONS,regular,Running Argo CD instance,Determining optimal resource values; Avoiding service disruption during updates,managing_resource,Module: gitops-patching-argocd-instance.adoc (PROCEDURE)
task,Update Application Controller CPU request using oc patch,Platform Administrator,Modifying resource requirements post-deployment,Patch command executes successfully; New CPU value applied,"When Argo CD is already deployed, I want to update resource requirements for workloads, so I can optimize performance or adjust to changing capacity needs",Patching Argo CD instance to update the resource requirements,"oc -n argocd patch argocd example --type='json' -p='[{""op"": ""replace"", ""path"": ""/spec/controller/resources/requests/cpu"", ""value"":""1""}]'",,OPERATIONS,regular,oc CLI access; Namespace permissions,JSON patch syntax complexity,managing_resource,Module: gitops-patching-argocd-instance.adoc (PROCEDURE)
task,Update Application Controller memory request using oc patch,Platform Administrator,Modifying resource requirements post-deployment,Patch command executes successfully; New memory value applied,"When Argo CD is already deployed, I want to update resource requirements for workloads, so I can optimize performance or adjust to changing capacity needs",Patching Argo CD instance to update the resource requirements,"oc -n argocd patch argocd example --type='json' -p='[{""op"": ""replace"", ""path"": ""/spec/controller/resources/requests/memory"", ""value"":""512Mi""}]'",,OPERATIONS,regular,oc CLI access; Namespace permissions,JSON patch syntax complexity,managing_resource,Module: gitops-patching-argocd-instance.adoc (PROCEDURE)
user_story,"When resource constraints are no longer applicable, I want to remove resource requirements from workloads, so I can allow unrestricted resource consumption",Platform Administrator,Removing quota restrictions or moving to unrestricted namespace,Resource limits successfully removed; Workloads operate without constraints; No service interruption,"When deploying Argo CD instances, I want to manage resource allocation for workloads, so I can ensure optimal performance and meet namespace resource quotas",Removing resource requests,You can also remove resource requirements for all or any of your workloads after installation,Remove CPU requests; Remove memory requests; Use oc patch with remove operation,OPERATIONS,occasional,Running Argo CD instance,Identifying which constraints to remove,managing_resource,Module: gitops-removing-resource-requirements.adoc (PROCEDURE)
task,Remove Application Controller CPU request using oc patch,Platform Administrator,Removing resource constraints,Patch command executes successfully; CPU request removed from spec,"When resource constraints are no longer applicable, I want to remove resource requirements from workloads, so I can allow unrestricted resource consumption",Removing resource requests,"oc -n argocd patch argocd example --type='json' -p='[{""op"": ""remove"", ""path"": ""/spec/controller/resources/requests/cpu""}]'",,OPERATIONS,occasional,oc CLI access; Namespace permissions,JSON patch syntax complexity,managing_resource,Module: gitops-removing-resource-requirements.adoc (PROCEDURE)
main_job,"When managing GitOps console components, I want to configure resource allocation for plugin and backend services, so I can control memory usage and ensure stable performance",Platform Administrator,Managing OpenShift GitOps console plugin resource consumption,Plugin components have defined resource limits; Backend services operate within allocated resources; Memory and CPU usage is predictable,,Configure resource requests and limits for GitOps plugin components,You can configure CPU and memory resource requests and limits for the {gitops-shortname} console plugin and its backend cluster components,Configure during creation; Update existing configuration; Use default values,OPERATIONS,regular,GitOps Operator installed,Memory performance issues; Determining appropriate resource values,managing_resource,Assembly: configure-resource-requests-and-limits-for-gitops-plugin-components.adoc
user_story,"When configuring GitOps plugin resources, I want to set specific requests and limits via GitOpsService CR, so I can address memory and performance issues in console components",Platform Administrator,Configuring GitOps console plugin resource allocation,Backend resources configured; Plugin resources configured; GitOpsService controller applies settings; Components run with specified limits,"When managing GitOps console components, I want to configure resource allocation for plugin and backend services, so I can control memory usage and ensure stable performance",Enabling the GitOpsService custom resource,"To enable resource configuration for the {gitops-shortname} plugin components, specify the .spec.consolePlugin.backend.resources field for the backend component and the .spec.consolePlugin.gitopsPlugin.resources field",Configure backend resources; Configure plugin resources; Use separate or identical configurations,SETUP,initial,GitOps Operator installed; Admin cluster access,Understanding resource field structure; Balancing backend vs plugin resource allocation,managing_resource,Module: gitops-enabling-the-gitopsservice-custom-resource.adoc (PROCEDURE)
task,Retrieve GitOpsService custom resource,Platform Administrator,Identifying GitOpsService CR for editing,GitOpsService CR located; Namespace identified,"When configuring GitOps plugin resources, I want to set specific requests and limits via GitOpsService CR, so I can address memory and performance issues in console components",Enabling the GitOpsService custom resource,oc get gitopsservice -A,,SETUP,initial,oc CLI access,,managing_resource,Module: gitops-enabling-the-gitopsservice-custom-resource.adoc (PROCEDURE)
task,Edit GitOpsService CR to add backend and plugin resource specifications,Platform Administrator,Configuring resource requests and limits,CR edited successfully; Backend resources defined; Plugin resources defined; Changes saved,"When configuring GitOps plugin resources, I want to set specific requests and limits via GitOpsService CR, so I can address memory and performance issues in console components",Enabling the GitOpsService custom resource,oc edit gitopsservice cluster -n openshift-gitops,,SETUP,initial,GitOpsService CR exists; Namespace permissions,YAML syntax errors; Understanding field structure,managing_resource,Module: gitops-enabling-the-gitopsservice-custom-resource.adoc (PROCEDURE)
task,Verify resource configuration applied to pods,Platform Administrator,Validating resource configuration,Pod description shows Limits section; Pod description shows Requests section; Values match configuration,"When configuring GitOps plugin resources, I want to set specific requests and limits via GitOpsService CR, so I can address memory and performance issues in console components",Enabling the GitOpsService custom resource,oc describe pod <pod-name> -n openshift-gitops,,SETUP,initial,GitOpsService controller reconciliation complete,Finding correct pod name,managing_resource,Module: gitops-enabling-the-gitopsservice-custom-resource.adoc (PROCEDURE)
user_story,"When planning resource allocation, I want to understand how GitOpsService controller applies resource values, so I can make informed decisions about custom vs default configurations",Platform Administrator,Understanding resource configuration behavior,Understand specified value behavior; Know default values; Can predict controller behavior,"When managing GitOps console components, I want to configure resource allocation for plugin and backend services, so I can control memory usage and ensure stable performance",Behavior of resource configuration,The following information describes how the GitOpsService controller applies resource values defined in the GitOpsService custom resource (CR),Use defaults; Specify custom values; Apply to specific components only,PLANNING,initial,,Understanding controller reconciliation logic,managing_resource,Module: gitops-plugin-resource-behavior.adoc (CONCEPT)
task,Review default resource values for backend and plugin components,Platform Administrator,Understanding baseline resource allocation,Know default CPU requests; Know default memory requests; Know default CPU limits; Know default memory limits,"When planning resource allocation, I want to understand how GitOpsService controller applies resource values, so I can make informed decisions about custom vs default configurations",Behavior of resource configuration,"Backend: Request CPU 250m, Request Memory 128Mi, Limit CPU 500m, Limit Memory 256Mi; GitOps plugin: Request CPU 250m, Request Memory 128Mi, Limit CPU 500m, Limit Memory 256Mi",,PLANNING,initial,,Determining if defaults are sufficient,managing_resource,Module: gitops-plugin-resource-behavior.adoc (CONCEPT)
